code,label
20000,Mainland North America
21300,South Carolina
21301,Beaufort
21302,Charleston
21304,Georgetown (SC)
21399,"South Carolina, port unspecified"
20000,Mainland North America
21400,Georgia
21401,Savannah
21402,Sunbury
21403,Tybee Island
21404,Cumberland Island
21499,"Georgia, port unspecified"
20000,Mainland North America
21500,Florida
21501,St. Augustine
21502,Pensacola
21503,Amelia Island
21504,Key West
21505,Indian River
21506,East Florida
21599,"Florida, port unspecified"
20000,Mainland North America
21600,Gulf coast
21601,New Orleans
21602,La Balise
21603,Louisiana
21604,Biloxi
21605,Mississippi
21606,Mobile
21699,"Gulf Coast, port unspecifed"
20000,Mainland North America
21700,Canada
21701,Quebec
21702,New Brunswick
21703,St. John
21704,Newfoundland
21705,Nova Scotia
21706,Halifax
21707,Mahone Bay
21708,"Roseway, NS"
20000,Mainland North America
21900,Other North America
21901,Newport and Boston
21902,Newport and Salem
21903,New England
21904,Carolinas
21905,Chesapeake
21999,"USA, location unspecified"
30000,Caribbean
31100,Hispaniola
31102,Isabela
31103,Monte Christi
31104,Samana
31106,San(to) Domingo
31107,Ocoa
31108,Nizao
31109,Puerto de Plata
31110,Isla Saona
31199,"Hispaniola, unspecified"
30000,Caribbean
31200,Puerto Rico
31201,San Juan
31299,"Puerto Rico, port unspecified"
30000,Caribbean
31300,Cuba
31301,Bahia Honda
31302,Banes
31303,Cabanas
31304,Caibarien
31305,CanasÌ_
31306,Cardenas
31307,Cienfuegos
31308,"Cuba, south coast"
31309,"Cuba, west coast"
31310,Estuary of River Guane
31311,Guanimar
31312,Havana
31313,Isla de Pinas
31314,"Magari, Manzanillo"
31315,Mariel
31316,Matanzas
31317,"Matanzas province, north"
31318,"Matanzas province, south"
31319,Nuevitas
31320,Puerto Padre
31321,Sagua
31322,San Juan de los Remedios
31323,Santiago de Cuba
31324,Trinidad de Cuba
31326,BatabanÌ_
31327,Baracoa
31328,Punta Macurijes
31399,"Cuba, port unspecified"
30000,Caribbean
31400,Other Spanish Caribbean
31499,"Spanish Caribbean, unspecified"
30000,Caribbean
32100,Dutch Caribbean
32110,CuraÌ¤ao
32120,Aruba
32130,Bonaire
32140,St. Maarten
32141,Cul de Sac (St. Maarten)
32150,St. Eustatius
32199,"Dutch Caribbean, colony unspecified"
30000,Caribbean
32200,Dutch Guianas
32201,Guiana
32202,Nova Zeelandia (Wild Coast)
32230,Essequibo
32240,Suriname
32241,Paramaribo
32250,Berbice
32299,"Dutch Guianas, colony unspecified"
30000,Caribbean
32300,Other Dutch Americas
32399,"Other Dutch Americas, colony unspecified"
30000,Caribbean
33200,Tortola
33299,"Tortola, port unspecified"
30000,Caribbean
33300,Anguilla
33399,"Anguilla, port unspecified"
30000,Caribbean
33400,Antigua
33401,Saint John (Antigua)
33499,"Antigua, port unspecified"
30000,Caribbean
33500,St. Kitts
33599,"St. Kitts, port unspecified"
30000,Caribbean
33600,Nevis
33601,Newcastle (Nevis)
33699,"Nevis, port unspecified"
30000,Caribbean
33700,Montserrat
33799,"Montserrat, port unspecified"
30000,Caribbean
33800,Dominica 33801 Roseau
33802,"St. Marc, Dominica"
33899,"Dominica, port unspecified"
30000,Caribbean
34100,St. Lucia
34199,"St. Lucia, port unspecified"
30000,Caribbean
34200,Barbados
34201,King's Harbour
34202,Speightstown
34299,"Barbados, port unspecified"
30000,Caribbean
34300,St. Vincent
34399,"St. Vincent, port unspecified"
30000,Caribbean
34400,Grenada
34499,"Grenada, port unspecified"
30000,Caribbean
34500,Trinidad
34599,"Trinidad, port unspecified"
30000,Caribbean
34600,Tobago
34601,Zion Hill
34699,"Tobago, port unspecified"
30000,Caribbean
35100,Jamaica
35101,Annotto Bay
35102,Antonia (a) Port Antonio
35103,Black River
35104,Falmouth (Jamaica)
35105,Lucea (a) St. Lucea
35106,Martha Brae
35107,Montego Bay
35108,Morant Bay
35109,Port Maria
35110,Port Royal
35111,Saint Ann's Bay
35112,Savanna la Mar
35113,Spanish Town
35114,Kingston (Jamaica)
35199,"Jamaica, port unspecified"
30000,Caribbean
35200,Bahamas
35201,New Providence
35202,Turk's Island
35203,Nassau
35204,"Cat Island, Bahamas"
35205,Exuma
35206,"Heneague, Bahamas"
35299,"Bahamas, port unspecified"
30000,Caribbean
35300,British Guiana
35301,Cumingsberg
35302,Stabroek
35304,Demerara
35305,Kingston (Demerera)
35399,"British Guiana, port unspecified"
30000,Caribbean
35400,Honduras
35401,Mosquito Shore
35402,Trujillo
35499,"Honduras, port unspecified"
30000,Caribbean
35500,Other British Caribbean
35502,Antigua or Dominica
35503,Barbados and Jamaica
35504,Dominica or Jamaica
35505,Jamaica or St. Kitts
35507,British Leewards
35508,Bermuda
35509,Hamilton (Bermuda)
35510,Becquia
35511,Grand Caymans
35512,Providence Island
35599,"British Caribbean, colony unspecified"
30000,Caribbean
36100,Martinique
36101,Fort-Royale
36102,Saint-Pierre
36199,"Martinique, port unspecified"
30000,Caribbean
36200,Guadaloupe
36201,Basse-Terre
36202,Pointe-ÌÊ-Pitre
36203,Marie-Galante
36299,"Guadeloupe, port unspecified"
30000,Caribbean
36300,French Guiana
36301,Cayenne
36302,Oyapock
30000,Caribbean
36400,Saint-Domingue
36401,Tortuga (a) Saltatudas
36402,Arcahaie
36403,Cap FranÌ¤ais
36404,Cayes (Les)
36405,Cul-de-Sac
36406,Fort Dauphin
36407,Jacmel
36408,JÌ©rÌ©mie
36409,LÌ©ogane
36410,MÌ«le Saint Nicolas
36411,Petit-GoÌ¢ve
36412,Port-au-Prince
36413,Port-de-Paix
36414,Saint-Marc
36415,Ì_le ÌÊ Vache
36416,Cap Tiberon
36499,"Saint-Domingue, port unspecified"
30000,Caribbean
36500,Other French Caribbean
36599,"French Caribbean, colony unspecified"
30000,Caribbean
37000,Danish West Indies
37010,St. Croix
37020,St. Thomas
37030,St. John (Virgin Islands)
37040,Spanish Town (Virgin Islands)
37099,"Danish West Indies, colony unspecified"
40000,Caribbean
38100,St. BarthÌ©lemy (Sweden)
38101,Gustavia (St. BarthÌ©lemy)
38199,"St. BarthÌ©lemy, port unspecified"
40000,Caribbean
39000,Other Caribbean
39001,Caribbean (colony unspecified)
39002,West Indies (colony unspecified)
40000,Spanish Mainland Americas
41200,Spanish CircumCaribbean
41201,New Spain
41202,Campeche
41203,Veracruz
41204,Guatemala
41205,Santo Tomas
41206,Portobelo
41207,Cartagena
41208,Santa Marta
41210,Venezuela
41211,Borburata
41212,Caracas
41213,Cumana
